!SIL 1.0	SIL
<UNK> 1.0	SPN
akaendelea 1.0	a k a e DD e l e a
akaendeleza 1.0	a k a e DD e l e z a
akafa 1.0	a k a f a
akafafanua 1.0	a k a f a f a n u a
akafanikiwa 1.0	a k a f a n i k i w a
akafanya 1.0	a k a f a n y a
akafanye 1.0	a k a f a n y e
akafanyiwa 1.0	a k a f a n y i w a
akafariki 1.0	a k a f a r i k i
akafika 1.0	a k a f i k a
akafikia 1.0	a k a f i k i a
akafikishwa 1.0	a k a f i k i SS w a
akafuata 1.0	a k a f u a t a
akafuatia 1.0	a k a f u a t i a
akafunga 1.0	a k a f u GG a
akafungua 1.0	a k a f u GG u a
akafungwa 1.0	a k a f u GG w a
akafyatua 1.0	a k a f y a t u a
akageuka 1.0	a k a g e u k a
akagoma 1.0	a k a g o m a
akagombea 1.0	a k a g o BB e a
akagombee 1.0	a k a g o BB e e
akagonga 1.0	a k a g o GG a
akague 1.0	a k a g u e
akagundua 1.0	a k a g u DD u a
akahamia 1.0	a k a h a m i a
akahamishiwa 1.0	a k a h a m i SS i w a
akahisi 1.0	a k a h i s i
akahitimisha 1.0	a k a h i t i m i SS a
akahoji 1.0	a k a h o j i
akaibuka 1.0	a k a i b u k a
akaingia 1.0	a k a i GG i a
akaingilia 1.0	a k a i GG i l i a
akaingiza 1.0	a k a i GG i z a
akaiomba 1.0	a k a i o BB a
akaishi 1.0	a k a i SS i
akaishia 1.0	a k a i SS i a
akaitaka 1.0	a k a i t a k a
akaitwa 1.0	a k a i t w a
akaja 1.0	a k a j a
akajaribu 1.0	a k a j a r i b u
akajenga 1.0	a k a j e GG a
akajibiwa 1.0	a k a j i b i w a
akajibu 1.0	a k a j i b u
akajifunza 1.0	a k a j i f u ZZ a
akajikuta 1.0	a k a j i k u t a
akajitetea 1.0	a k a j i t e t e a
akajitoa 1.0	a k a j i t o a
akajitokeza 1.0	a k a j i t o k e z a
akajiunga 1.0	a k a j i u GG a
akajua 1.0	a k a j u a
akakaa 1.0	a k a k a a
akakamatwa 1.0	a k a k a m a t w a
akakana 1.0	a k a k a n a
akakanusha 1.0	a k a k a n u SS a
akakasirika 1.0	a k a k a s i r i k a
akakata 1.0	a k a k a t a
akakataa 1.0	a k a k a t a a
akakimbia 1.0	a k a k i BB i a
akakimbilia 1.0	a k a k i BB i l i a
akakiri 1.0	a k a k i r i
akakosa 1.0	a k a k o s a
akakubali 1.0	a k a k u b a l i
akakumbana 1.0	a k a k u BB a n a
akakumbuka 1.0	a k a k u BB u k a
akakuta 1.0	a k a k u t a
akakutana 1.0	a k a k u t a n a
akakutwa 1.0	a k a k u t w a
akalazimika 1.0	a k a l a z i m i k a
akalazwa 1.0	a k a l a z w a
akaleta 1.0	a k a l e t a
akaletwa 1.0	a k a l e t w a
akamaliza 1.0	a k a m a l i z a
akamalizia 1.0	a k a m a l i z i a
akamatwa 1.0	a k a m a t w a
akamatwe 1.0	a k a m a t w e
akamfuata 1.0	a k a m f u a t a
akamgeukia 1.0	a k a m g e u k i a
akamilishe 1.0	a k a m i l i SS e
akamjibu 1.0	a k a m j i b u
akampa 1.0	a k a m p a
akampeleka 1.0	a k a m p e l e k a
akampiga 1.0	a k a m p i g a
akampigia 1.0	a k a m p i g i a
akamtaja 1.0	a k a m t a j a
akamtaka 1.0	a k a m t a k a
akamteua 1.0	a k a m t e u a
akamuomba 1.0	a k a m u o BB a
akamuua 1.0	a k a m u u a
akamuuliza 1.0	a k a m u u l i z a
akamwachia 1.0	a k a m w a CC i a
akamwambia 1.0	a k a m w a BB i a
akamweleza 1.0	a k a m w e l e z a
akamwita 1.0	a k a m w i t a
akamwomba 1.0	a k a m w o BB a
akaniambia 1.0	a k a n i a BB i a
akanieleza 1.0	a k a n i e l e z a
akanijibu 1.0	a k a n i j i b u
akaniomba 1.0	a k a n i o BB a
akanipa 1.0	a k a n i p a
akanitaka 1.0	a k a n i t a k a
akaniuliza 1.0	a k a n i u l i z a
akanukuliwa 1.0	a k a n u k u l i w a
akanunua 1.0	a k a n u n u a
akanunue 1.0	a k a n u n u e
akanushe 1.0	a k a n u SS e
akanyanyuka 1.0	a k a n y a n y u k a
akaomba 1.0	a k a o BB a
akaona 1.0	a k a o n a
akaondoka 1.0	a k a o DD o k a
akaondolewa 1.0	a k a o DD o l e w a
akaonekana 1.0	a k a o n e k a n a
akaongeza 1.0	a k a o GG e z a
akaonya 1.0	a k a o n y a
akaonyesha 1.0	a k a o n y e SS a
akapanda 1.0	a k a p a DD a
akapata 1.0	a k a p a t a
akapate 1.0	a k a p a t e
akapatwa 1.0	a k a p a t w a
akapelekwa 1.0	a k a p e l e k w a
akapendekeza 1.0	a k a p e DD e k e z a
akapewa 1.0	a k a p e w a
akapiga 1.0	a k a p i g a
akapigwa 1.0	a k a p i g w a
akapimwe 1.0	a k a p i m w e
akapinga 1.0	a k a p i GG a
akapokea 1.0	a k a p o k e a
akapona 1.0	a k a p o n a
akapoteza 1.0	a k a p o t e z a
akapumzike 1.0	a k a p u m z i k e
akarejea 1.0	a k a r e j e a
akarudi 1.0	a k a r u d i
akarudia 1.0	a k a r u d i a
akarudishwa 1.0	a k a r u d i SS w a
akaruhusiwa 1.0	a k a r u h u s i w a
akaruka 1.0	a k a r u k a
akasafiri 1.0	a k a s a f i r i
akasahau 1.0	a k a s a h a u
akasema 1.0	a k a s e m a
akashangaa 1.0	a k a SS a GG a a
akashauri 1.0	a k a SS a u r i
akashika 1.0	a k a SS i k a
akashinda 1.0	a k a SS i DD a
akashindwa 1.0	a k a SS i DD w a
akashiriki 1.0	a k a SS i r i k i
akashtuka 1.0	a k a SS t u k a
akashuka 1.0	a k a SS u k a
akashusha 1.0	a k a SS u SS a
akasikia 1.0	a k a s i k i a
akasikika 1.0	a k a s i k i k a
akasimama 1.0	a k a s i m a m a
akasimamia 1.0	a k a s i m a m i a
akasisitiza 1.0	a k a s i s i t i z a
akasita 1.0	a k a s i t a
akasoma 1.0	a k a s o m a
akasome 1.0	a k a s o m e
akatae 1.0	a k a t a e
akatafuta 1.0	a k a t a f u t a
akatafute 1.0	a k a t a f u t e
akatahadharisha 1.0	a k a t a h a LL a r i SS a
akataja 1.0	a k a t a j a
akataka 1.0	a k a t a k a
akatakiwa 1.0	a k a t a k i w a
akatamani 1.0	a k a t a m a n i
akatamba 1.0	a k a t a BB a
akatambua 1.0	a k a t a BB u a
akatamka 1.0	a k a t a m k a
akatangaza 1.0	a k a t a GG a z a
akate 1.0	a k a t e
akateuliwa 1.0	a k a t e u l i w a
akatibiwe 1.0	a k a t i b i w e
akatiwa 1.0	a k a t i w a
akatoa 1.0	a k a t o a
akatoka 1.0	a k a t o k a
akatokea 1.0	a k a t o k e a
akatolea 1.0	a k a t o l e a
akatoweka 1.0	a k a t o w e k a
akatuambia 1.0	a k a t u a BB i a
akatulia 1.0	a k a t u l i a
akatumia 1.0	a k a t u m i a
akatupa 1.0	a k a t u p a
akatwaa 1.0	a k a t w a a
akatwe 1.0	a k a t w e
akauliza 1.0	a k a u l i z a
akaulizwa 1.0	a k a u l i z w a
akaumia 1.0	a k a u m i a
akaunda 1.0	a k a u DD a
akaunti 1.0	a k a u n t i
akauti 1.0	a k a u t i
akavaa 1.0	a k a v a a
akavua 1.0	a k a v u a
akavuta 1.0	a k a v u t a
akawa 1.0	a k a w a
akawaambia 1.0	a k a w a a BB i a
akawaeleza 1.0	a k a w a e l e z a
akawahakikishia 1.0	a k a w a h a k i k i SS i a
akawaita 1.0	a k a w a i t a
akawajibu 1.0	a k a w a j i b u
akawaomba 1.0	a k a w a o BB a
akawaonya 1.0	a k a w a o n y a
akawapa 1.0	a k a w a p a
akawataja 1.0	a k a w a t a j a
akawataka 1.0	a k a w a t a k a
akawauliza 1.0	a k a w a u l i z a
akaweka 1.0	a k a w e k a
akaweza 1.0	a k a w e z a
akazidi 1.0	a k a z i d i
akazu 1.0	a k a z u
akazungumza 1.0	a k a z u GG u m z a
akazungumzia 1.0	a k a z u GG u m z i a
akbar 1.0	a k b a r
akbar(2) 1.0	a k b e r
akbar(4) 1.0	a k b a r i
akberali 1.0	a k b e r a l i
ake 1.0	a k e
aki 1.0	a k i
akiacha 1.0	a k i a CC a
akiachia 1.0	a k i a CC i a
akiachiwa 1.0	a k i a CC i w a
akiachwa 1.0	a k i a CC w a
akiagana 1.0	a k i a g a n a
akiagiza 1.0	a k i a g i z a
akiahidi 1.0	a k i a h i d i
akiahirisha 1.0	a k i a h i r i SS a
akiainisha 1.0	a k i a i n i SS a
akiambatana 1.0	a k i a BB a t a n a
akiambiwa 1.0	a k i a BB i w a
akiambulia 1.0	a k i a BB u l i a
akiamini 1.0	a k i a m i n i
akiamka 1.0	a k i a m k a
akiamua 1.0	a k i a m u a
akiandaa 1.0	a k i a DD a a
akiandaliwa 1.0	a k i a DD a l i w a
akiandamwa 1.0	a k i a DD a m w a
akiandika 1.0	a k i a DD i k a
akiangalia 1.0	a k i a GG a l i a
akiangua 1.0	a k i a GG u a
akianguka 1.0	a k i a GG u k a
akiangukia 1.0	a k i a GG u k i a
akianza 1.0	a k i a ZZ a
akianzia 1.0	a k i a ZZ i a
akianzisha 1.0	a k i a ZZ i SS a
akiapa 1.0	a k i a p a
akiapishwa 1.0	a k i a p i SS w a
akiba 1.0	a k i b a
akiba(2) 1.0	e k i b e
akibadili 1.0	a k i b a d i l i
akibadilisha 1.0	a k i b a d i l i SS a
akibainika 1.0	a k i b a i n i k a
akibainisha 1.0	a k i b a i n i SS a
akibaki 1.0	a k i b a k i
akibanwa 1.0	a k i b a n w a
akibeba 1.0	a k i b e b a
akibebeshwa 1.0	a k i b e b e SS w a
akibeza 1.0	a k i b e z a
akibubujikwa 1.0	a k i b u b u j i k w a
akibuni 1.0	a k i b u n i
akichaguliwa 1.0	a k i CC a g u l i w a
akichambua 1.0	a k i CC a BB u a
akichanganya 1.0	a k i CC a GG a n y a
akichangia 1.0	a k i CC a GG i a
akichechemea 1.0	a k i CC e CC e m e a
akicheka 1.0	a k i CC e k a
akichelewa 1.0	a k i CC e l e w a
akicheza 1.0	a k i CC e z a
akichezea 1.0	a k i CC e z e a
akichezesha 1.0	a k i CC e z e SS a
akichimba 1.0	a k i CC i BB a
akichonga 1.0	a k i CC o GG a
akichota 1.0	a k i CC o t a
akichuana 1.0	a k i CC u a n a
akichukua 1.0	a k i CC u k u a
akichukuliwa 1.0	a k i CC u k u l i w a
akichunga 1.0	a k i CC u GG a
akida 1.0	a k i d a
akidai 1.0	a k i d a i
akidaiwa 1.0	a k i d a i w a
akidhani 1.0	a k i LL a n i
akidhaniwa 1.0	a k i LL a n i w a
akidi 1.0	a k i d i
akidokeza 1.0	a k i d o k e z a
akielekea 1.0	a k i e l e k e a
akielekeza 1.0	a k i e l e k e z a
akielewa 1.0	a k i e l e w a
akieleza 1.0	a k i e l e z a
akielezea 1.0	a k i e l e z e a
akielezwa 1.0	a k i e l e z w a
akienda 1.0	a k i e DD a
akiendelea 1.0	a k i e DD e l e a
akiendeleza 1.0	a k i e DD e l e z a
akiendesha 1.0	a k i e DD e SS a
akifa 1.0	a k i f a
akifafanua 1.0	a k i f a f a n u a
akifahamika 1.0	a k i f a h a m i k a
akifahamu 1.0	a k i f a h a m u
akifanikiwa 1.0	a k i f a n i k i w a
akifanya 1.0	a k i f a n y a
akifanyia 1.0	a k i f a n y i a
akifanyiwa 1.0	a k i f a n y i w a
akifariki 1.0	a k i f a r i k i
akifaulu 1.0	a k i f a u l u
akifika 1.0	a k i f i k a
akifikia 1.0	a k i f i k i a
akifikiri 1.0	a k i f i k i r i
akifikiria 1.0	a k i f i k i r i a
akifikisha 1.0	a k i f i k i SS a
akifikishwa 1.0	a k i f i k i SS w a
akifoka 1.0	a k i f o k a
akifuata 1.0	a k i f u a t a
akifuatana 1.0	a k i f u a t a n a
akifuatia 1.0	a k i f u a t i a
akifuatilia 1.0	a k i f u a t i l i a
akifuatiwa 1.0	a k i f u a t i w a
akifukuzwa 1.0	a k i f u k u z w a
akifundisha 1.0	a k i f u DD i SS a
akifundishwa 1.0	a k i f u DD i SS w a
akifunga 1.0	a k i f u GG a
akifungua 1.0	a k i f u GG u a
akifungwa 1.0	a k i f u GG w a
akifurahia 1.0	a k i f u r a h i a
akifuta 1.0	a k i f u t a
akifuzu 1.0	a k i f u z u
akigawa 1.0	a k i g a w a
akigoma 1.0	a k i g o m a
akigombana 1.0	a k i g o BB a n a
akigombea 1.0	a k i g o BB e a
akigonga 1.0	a k i g o GG a
akigusia 1.0	a k i g u s i a
akiguswa 1.0	a k i g u s w a
akihaha 1.0	a k i h a h a
akihakikisha 1.0	a k i h a k i k i SS a
akihama 1.0	a k i h a m a
akihamasisha 1.0	a k i h a m a s i SS a
akihangaika 1.0	a k i h a GG a i k a
akihema 1.0	a k i h e m a
akihimiza 1.0	a k i h i m i z a
akihisi 1.0	a k i h i s i
akihitaji 1.0	a k i h i t a j i
akihitimisha 1.0	a k i h i t i m i SS a
akihofia 1.0	a k i h o f i a
akihoji 1.0	a k i h o j i
akihojiwa 1.0	a k i h o j i w a
akihubiri 1.0	a k i h u b i r i
akihudhuria 1.0	a k i h u LL u r i a
akihukumiwa 1.0	a k i h u k u m i w a
akihusika 1.0	a k i h u s i k a
akihusisha 1.0	a k i h u s i SS a
akihusishwa 1.0	a k i h u s i SS w a
akihutubia 1.0	a k i h u t u b i a
akiiba 1.0	a k i i b a
akiibuka 1.0	a k i i b u k a
akiichezea 1.0	a k i i CC e z e a
akiifanya 1.0	a k i i f a n y a
akiifundisha 1.0	a k i i f u DD i SS a
akiigiza 1.0	a k i i g i z a
akiimba 1.0	a k i i BB a
akiimbia 1.0	a k i i BB i a
akiingia 1.0	a k i i GG i a
akiingiza 1.0	a k i i GG i z a
akiinoa 1.0	a k i i n o a
akiiomba 1.0	a k i i o BB a
akiiongoza 1.0	a k i i o GG o z a
akiipa 1.0	a k i i p a
akiipongeza 1.0	a k i i p o GG e z a
akiishi 1.0	a k i i SS i
akiishia 1.0	a k i i SS i a
akiishutumu 1.0	a k i i SS u t u m u
akiita 1.0	a k i i t a
akiitaja 1.0	a k i i t a j a
akiitaka 1.0	a k i i t a k a
akiitetea 1.0	a k i i t e t e a
akiitoa 1.0	a k i i t o a
akiitumia 1.0	a k i i t u m i a
akiitumikia 1.0	a k i i t u m i k i a
akiitwa 1.0	a k i i t w a
akiiwakilisha 1.0	a k i i w a k i l i SS a
akiizungumzia 1.0	a k i i z u GG u m z i a
akija 1.0	a k i j a
akijadili 1.0	a k i j a d i l i
akijali 1.0	a k i j a l i
akijaribu 1.0	a k i j a r i b u
akijaza 1.0	a k i j a z a
akijenga 1.0	a k i j e GG a
akijeruhiwa 1.0	a k i j e r u h i w a
akijiamini 1.0	a k i j i a m i n i
akijiandaa 1.0	a k i j i a DD a a
akijibu 1.0	a k i j i b u
akijieleza 1.0	a k i j i e l e z a
akijifanya 1.0	a k i j i f a n y a
akijifua 1.0	a k i j i f u a
akijifungua 1.0	a k i j i f u GG u a
akijifunza 1.0	a k i j i f u ZZ a
akijigamba 1.0	a k i j i g a BB a
akijihusisha 1.0	a k i j i h u s i SS a
akijiita 1.0	a k i j i i t a
akijikita 1.0	a k i j i k i t a
akijikuta 1.0	a k i j i k u t a
akijinadi 1.0	a k i j i n a d i
akijinasibu 1.0	a k i j i n a s i b u
akijipanga 1.0	a k i j i p a GG a
akijishughulisha 1.0	a k i j i SS u RR u l i SS a
akijisikia 1.0	a k i j i s i k i a
akijisomea 1.0	a k i j i s o m e a
akijitahidi 1.0	a k i j i t a h i d i
akijitambulisha 1.0	a k i j i t a BB u l i SS a
akijitapa 1.0	a k i j i t a p a
akijitayarisha 1.0	a k i j i t a y a r i SS a
akijitetea 1.0	a k i j i t e t e a
akijitoa 1.0	a k i j i t o a
akijitokeza 1.0	a k i j i t o k e z a
akijitolea 1.0	a k i j i t o l e a
akijituma 1.0	a k i j i t u m a
akijiuliza 1.0	a k i j i u l i z a
akijiunga 1.0	a k i j i u GG a
akijiuzulu 1.0	a k i j i u z u l u
akijivunia 1.0	a k i j i v u n i a
akijua 1.0	a k i j u a
akijulikana 1.0	a k i j u l i k a n a
akikaa 1.0	a k i k a a
akikabidhi 1.0	a k i k a b i LL i
akikabidhiwa 1.0	a k i k a b i LL i w a
akikabiliana 1.0	a k i k a b i l i a n a
akikabiliwa 1.0	a k i k a b i l i w a
akikagua 1.0	a k i k a g u a
akikaimu 1.0	a k i k a i m u
akikamata 1.0	a k i k a m a t a
akikamatwa 1.0	a k i k a m a t w a
akikamilisha 1.0	a k i k a m i l i SS a
akikana 1.0	a k i k a n a
akikanusha 1.0	a k i k a n u SS a
akikaribia 1.0	a k i k a r i b i a
akikariri 1.0	a k i k a r i r i
akikaririwa 1.0	a k i k a r i r i w a
akikata 1.0	a k i k a t a
akikataa 1.0	a k i k a t a a
akikatiza 1.0	a k i k a t i z a
akikatwa 1.0	a k i k a t w a
akikemea 1.0	a k i k e m e a
akikerwa 1.0	a k i k e r w a
akikifanya 1.0	a k i k i f a n y a
akikimbia 1.0	a k i k i BB i a
akikimbilia 1.0	a k i k i BB i l i a
akikimbizwa 1.0	a k i k i BB i z w a
akikiri 1.0	a k i k i r i
akikisema 1.0	a k i k i s e m a
akikitumia 1.0	a k i k i t u m i a
akikiuka 1.0	a k i k i u k a
akikosa 1.0	a k i k o s a
akikosea 1.0	a k i k o s e a
akikosoa 1.0	a k i k o s o a
akikosolewa 1.0	a k i k o s o l e w a
akikubali 1.0	a k i k u b a l i
akikubaliana 1.0	a k i k u b a l i a n a
akikumbana 1.0	a k i k u BB a n a
akikumbuka 1.0	a k i k u BB u k a
akikumbwa 1.0	a k i k u BB w a
akikusanya 1.0	a k i k u s a n y a
akikusudia 1.0	a k i k u s u d i a
akikutana 1.0	a k i k u t a n a
akikutwa 1.0	a k i k u t w a
akikwama 1.0	a k i k w a m a
akikwepa 1.0	a k i k w e p a
akil 1.0	a k i l
akil(4) 1.0	a k i l i
akila 1.0	a k i l a
akilaani 1.0	a k i l a a n i
akilala 1.0	a k i l a l a
akilalama 1.0	a k i l a l a m a
akilalamika 1.0	a k i l a l a m i k a
akilalamikia 1.0	a k i l a l a m i k i a
akilalamikiwa 1.0	a k i l a l a m i k i w a
akilamba 1.0	a k i l a BB a
akilaumiwa 1.0	a k i l a u m i w a
akilaumu 1.0	a k i l a u m u
akilazimika 1.0	a k i l a z i m i k a
akilazimisha 1.0	a k i l a z i m i SS a
akilenga 1.0	a k i l e GG a
akileta 1.0	a k i l e t a
akili 1.0	a k i l i
akilia 1.0	a k i l i a
akiliendesha 1.0	a k i l i e DD e SS a
akilihutubia 1.0	a k i l i h u t u b i a
akililia 1.0	a k i l i l i a
akilima 1.0	a k i l i m a
akilimali 1.0	a k i l i m a l i
akilinda 1.0	a k i l i DD a
akilindwa 1.0	a k i l i DD w a
akilinganisha 1.0	a k i l i GG a n i SS a
akilini 1.0	a k i l i n i
akiliongoza 1.0	a k i l i o GG o z a
akilipa 1.0	a k i l i p a
akilipwa 1.0	a k i l i p w a
akilitumia 1.0	a k i l i t u m i a
akilizungumzia 1.0	a k i l i z u GG u m z i a
akilonga 1.0	a k i l o GG a
akimaanisha 1.0	a k i m a a n i SS a
akimaliza 1.0	a k i m a l i z a
akimalizia 1.0	a k i m a l i z i a
akimbie 1.0	a k i BB i e
akimbilie 1.0	a k i BB i l i e
akimbizwe 1.0	a k i BB i z w e
akimbwaga 1.0	a k i BB w a g a
akimchapa 1.0	a k i m CC a p a
akimdai 1.0	a k i m d a i
akimfanyia 1.0	a k i m f a n y i a
akimfuata 1.0	a k i m f u a t a
akimhoji 1.0	a k i m h o j i
akimhudumia 1.0	a k i m h u d u m i a
akimhusisha 1.0	a k i m h u s i SS a
akimiliki 1.0	a k i m i l i k i
akimjibu 1.0	a k i m j i b u
akimkabidhi 1.0	a k i m k a b i LL i
akimkaribisha 1.0	a k i m k a r i b i SS a
akimkariri 1.0	a k i m k a r i r i
akimlalamikia 1.0	a k i m l a l a m i k i a
akimlaumu 1.0	a k i m l a u m u
akimlenga 1.0	a k i m l e GG a
akimnadi 1.0	a k i m n a d i
akimnukuu 1.0	a k i m n u k u u
akimpa 1.0	a k i m p a
akimpatia 1.0	a k i m p a t i a
akimpenda 1.0	a k i m p e DD a
akimpiga 1.0	a k i m p i g a
akimpigia 1.0	a k i m p i g i a
akimpongeza 1.0	a k i m p o GG e z a
akimsaidia 1.0	a k i m s a i d i a
akimshambulia 1.0	a k i m SS a BB u l i a
akimshauri 1.0	a k i m SS a u r i
akimshinda 1.0	a k i m SS i DD a
akimshirikisha 1.0	a k i m SS i r i k i SS a
akimshutumu 1.0	a k i m SS u t u m u
akimsifu 1.0	a k i m s i f u
akimsikiliza 1.0	a k i m s i k i l i z a
akimsomea 1.0	a k i m s o m e a
akimsubiri 1.0	a k i m s u b i r i
akimsumbua 1.0	a k i m s u BB u a
akimtahadharisha 1.0	a k i m t a h a LL a r i SS a
akimtaja 1.0	a k i m t a j a
akimtaka 1.0	a k i m t a k a
akimtambulisha 1.0	a k i m t a BB u l i SS a
akimtangaza 1.0	a k i m t a GG a z a
akimtazama 1.0	a k i m t a z a m a
akimtetea 1.0	a k i m t e t e a
akimtoa 1.0	a k i m t o a
akimtuhumu 1.0	a k i m t u h u m u
akimtumia 1.0	a k i m t u m i a
akimueleza 1.0	a k i m u e l e z a
akimuelezea 1.0	a k i m u e l e z e a
akimuomba 1.0	a k i m u o BB a
akimuona 1.0	a k i m u o n a
akimuuliza 1.0	a k i m u u l i z a
akimuunga 1.0	a k i m u u GG a
akimwacha 1.0	a k i m w a CC a
akimwachia 1.0	a k i m w a CC i a
akimwaga 1.0	a k i m w a g a
akimwakilisha 1.0	a k i m w a k i l i SS a
akimwambia 1.0	a k i m w a BB i a
akimwangalia 1.0	a k i m w a GG a l i a
akimweleza 1.0	a k i m w e l e z a
akimwelezea 1.0	a k i m w e l e z e a
akimwita 1.0	a k i m w i t a
akimwomba 1.0	a k i m w o BB a
akimwona 1.0	a k i m w o n a
akimzungumzia 1.0	a k i m z u GG u m z i a
akina 1.0	a k i n a
akinababa 1.0	a k i n a b a b a
akinadada 1.0	a k i n a d a d a
akinadi 1.0	a k i n a d i
akinamama 1.0	a k i n a m a m a
akini 1.0	a k i n i
akiniambia 1.0	a k i n i a BB i a
akinipa 1.0	a k i n i p a
akinitazama 1.0	a k i n i t a z a m a
akinola 1.0	a k i n o l a
akinukuliwa 1.0	a k i n u k u l i w a
akinukuu 1.0	a k i n u k u u
akinunua 1.0	a k i n u n u a
akinyi 1.0	a k i n y i
akinyolewa 1.0	a k i n y o l e w a
akinywa 1.0	a k i n y w a
akiogelea 1.0	a k i o g e l e a
akiogopa 1.0	a k i o g o p a
akiokoa 1.0	a k i o k o a
akiomba 1.0	a k i o BB a
akiombwa 1.0	a k i o BB w a
akiona 1.0	a k i o n a
akiondoka 1.0	a k i o DD o k a
akiondolewa 1.0	a k i o DD o l e w a
akionekana 1.0	a k i o n e k a n a
akionesha 1.0	a k i o n e SS a
akiongea 1.0	a k i o GG e a
akiongelea 1.0	a k i o GG e l e a
akiongeza 1.0	a k i o GG e z a
akiongezea 1.0	a k i o GG e z e a
akiongoza 1.0	a k i o GG o z a
akiongozana 1.0	a k i o GG o z a n a
akiongozwa 1.0	a k i o GG o z w a
akionya 1.0	a k i o n y a
akionyesha 1.0	a k i o n y e SS a
akionyeshwa 1.0	a k i o n y e SS w a
akiota 1.0	a k i o t a
akioza 1.0	a k i o z a
akipachika 1.0	a k i p a CC i k a
akipamba 1.0	a k i p a BB a
akipambana 1.0	a k i p a BB a n a
akipanda 1.0	a k i p a DD a
akipandisha 1.0	a k i p a DD i SS a
akipandishwa 1.0	a k i p a DD i SS w a
akipanga 1.0	a k i p a GG a
akipata 1.0	a k i p a t a
akipatikana 1.0	a k i p a t i k a n a
akipatiwa 1.0	a k i p a t i w a
akipatwa 1.0	a k i p a t w a
akipeleka 1.0	a k i p e l e k a
akipelekwa 1.0	a k i p e l e k w a
akipenda 1.0	a k i p e DD a
akipendekeza 1.0	a k i p e DD e k e z a
akipendelea 1.0	a k i p e DD e l e a
akipeperusha 1.0	a k i p e p e r u SS a
akipewa 1.0	a k i p e w a
akipiga 1.0	a k i p i g a
akipigana 1.0	a k i p i g a n a
akipigania 1.0	a k i p i g a n i a
akipigia 1.0	a k i p i g i a
akipigiwa 1.0	a k i p i g i w a
akipigwa 1.0	a k i p i g w a
akipinga 1.0	a k i p i GG a
akipingana 1.0	a k i p i GG a n a
akipingwa 1.0	a k i p i GG w a
akipita 1.0	a k i p i t a
akipitia 1.0	a k i p i t i a
akipitishwa 1.0	a k i p i t i SS w a
akipokea 1.0	a k i p o k e a
akipongeza 1.0	a k i p o GG e z a
akipoteza 1.0	a k i p o t e z a
akirejea 1.0	a k i r e j e a
akirejesha 1.0	a k i r e j e SS a
akiri 1.0	a k i r i
akiridhika 1.0	a k i r i LL i k a
akiripoti 1.0	a k i r i p o t i
akirithi 1.0	a k i r i TT i
akirudi 1.0	a k i r u d i
akirudia 1.0	a k i r u d i a
akirudisha 1.0	a k i r u d i SS a
akiruhusu 1.0	a k i r u h u s u
akiruka 1.0	a k i r u k a
akirusha 1.0	a k i r u SS a
akisafiri 1.0	a k i s a f i r i
akisafiria 1.0	a k i s a f i r i a
akisafirisha 1.0	a k i s a f i r i SS a
akisahau 1.0	a k i s a h a u
akisaidia 1.0	a k i s a i d i a
akisaidiana 1.0	a k i s a i d i a n a
akisaidiwa 1.0	a k i s a i d i w a
akisaini 1.0	a k i s a i n i
akisaka 1.0	a k i s a k a
akisakwa 1.0	a k i s a k w a
akisalimiana 1.0	a k i s a l i m i a n a
akisema 1.0	a k i s e m a
akisha 1.0	a k i SS a
akishakuwa 1.0	a k i SS a k u w a
akishamaliza 1.0	a k i SS a m a l i z a
akishambuliwa 1.0	a k i SS a BB u l i w a
akishangaa 1.0	a k i SS a GG a a
akishangazwa 1.0	a k i SS a GG a z w a
akishangilia 1.0	a k i SS a GG i l i a
akishangiliwa 1.0	a k i SS a GG i l i w a
akishapata 1.0	a k i SS a p a t a
akishauri 1.0	a k i SS a u r i
akishauriwa 1.0	a k i SS a u r i w a
akishika 1.0	a k i SS i k a
akishikilia 1.0	a k i SS i k i l i a
akishikiliwa 1.0	a k i SS i k i l i w a
akishinda 1.0	a k i SS i DD a
akishindwa 1.0	a k i SS i DD w a
akishinikiza 1.0	a k i SS i n i k i z a
akishinikizwa 1.0	a k i SS i n i k i z w a
akishiriki 1.0	a k i SS i r i k i
akishirikiana 1.0	a k i SS i r i k i a n a
akishitakiwa 1.0	a k i SS i t a k i w a
akishtakiwa 1.0	a k i SS t a k i w a
akishughulika 1.0	a k i SS u RR u l i k a
akishughulikia 1.0	a k i SS u RR u l i k i a
akishuhudia 1.0	a k i SS u h u d i a
akishuhudiwa 1.0	a k i SS u h u d i w a
akishuka 1.0	a k i SS u k a
akishukuru 1.0	a k i SS u k u r u
akishusha 1.0	a k i SS u SS a
akishutumiwa 1.0	a k i SS u t u m i w a
akishutumu 1.0	a k i SS u t u m u
akisifia 1.0	a k i s i f i a
akisifiwa 1.0	a k i s i f i w a
akisifu 1.0	a k i s i f u
akisikia 1.0	a k i s i k i a
akisikika 1.0	a k i s i k i k a
akisikiliza 1.0	a k i s i k i l i z a
akisikitishwa 1.0	a k i s i k i t i SS w a
akisimama 1.0	a k i s i m a m a
akisimamia 1.0	a k i s i m a m i a
akisimulia 1.0	a k i s i m u l i a
akisindikizwa 1.0	a k i s i DD i k i z w a
akisingizia 1.0	a k i s i GG i z i a
akisisitiza 1.0	a k i s i s i t i z a
akisisitizia 1.0	a k i s i s i t i z i a
